部品,ID,個数,リンク
R0805 10k,R1,1,https://www.mouser.jp/ProductDetail/YAGEO/AR0805JR-0710KL?qs=tggtontpCXPpUSp%2F0Bwqxw%3D%3D
R0805 1k,"R2,R3",2,https://www.mouser.jp/ProductDetail/Bourns/CR0805-FX-1001ELF?qs=tknLyCMIRbOJasvgRv5Bdg%3D%3D
74HC126D,IC1,1,https://www.mouser.jp/ProductDetail/Toshiba/74HC126D?qs=7EBvPakHacWz3z5G0%252BHArw%3D%3D
SN74AHC1G04DBVR,IC2,1,https://www.mouser.jp/ProductDetail/Texas-Instruments/SN74AHC1G04DBVR?qs=UGVLDq%2F29ugShjfz5jg%2FkQ%3D%3D
PIN Header 2X15 SMD,J1,1,https://www.mouser.jp/ProductDetail/M5Stack/A001?qs=81r%252BiQLm7BRpjvosS7pk2A%3D%3D
PIN Header 2X13 L,J2,1,https://www.mouser.jp/ProductDetail/TE-Connectivity/6-103326-3?qs=hegm%2Fm%252B%2Fz5m5gyQKqYeXpw%3D%3D
B4B-PH-K-S,J3,1,
PH2.0-4A (Grove),"J4,J5",2,https://www.mouser.jp/ProductDetail/Seeed-Studio/110990030?qs=1%252B9yuXKSi8Dw9fpnq%252BdNzQ%3D%3D
22-03-5035,J6,1,https://www.mouser.jp/ProductDetail/Molex/22-03-5035?qs=VKrXD49J9Ep%252Bv2WwbOoiPA%3D%3D
Box Header 2x5,J7,1,https://www.mouser.jp/ProductDetail/Wurth-Elektronik/61201021621?qs=W%252B2sBeLta1a0dwX5pxbfXw%3D%3D
